design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_joint_1_steroid_globulin_imputation_log	0.0521 (0.0253)	(rg: 0.0521; 95% CI: 0.0025 ... 0.1017)	1173302.0	0.0521	0.0253	0.049588	0.0025 ... 0.1017	0.0395	0.0025120000000000003	0.101688	1.0	1.0	0.0521	female	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_male_priority_male_joint_1_steroid_globulin_imputation_log	0.0433 (0.0243)	(rg: 0.0433; 95% CI: -0.0043 ... 0.0909)	1173302.0	0.0433	0.0243	0.047628	-0.0043 ... 0.0909	0.0751	-0.0043279999999999985	0.090928	1.0	0.0	0.0433	female_male	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_male_priority_male_unadjust_steroid_globulin_imputation_log	0.0516 (0.023)	(rg: 0.0516; 95% CI: 0.0065 ... 0.0967)	1173302.0	0.0516	0.023	0.045079999999999995	0.0065 ... 0.0967	0.0252	0.006520000000000005	0.09667999999999999	1.0	1.0	0.0516	female_male	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_menstruation_regular_joint_1_steroid_globulin_imputation_log	0.075 (0.0404)	(rg: 0.075; 95% CI: -0.0042 ... 0.1542)	1173302.0	0.075	0.0404	0.07918399999999999	-0.0042 ... 0.1542	0.0633	-0.004183999999999993	0.154184	1.0	0.0	0.075	female_menstruation_regular	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_menstruation_regular_unadjust_steroid_globulin_imputation_log	0.0884 (0.0379)	(rg: 0.0884; 95% CI: 0.0141 ... 0.1627)	1173302.0	0.0884	0.0379	0.074284	0.0141 ... 0.1627	0.0197	0.014116000000000004	0.162684	1.0	1.0	0.0884	female_menstruation_regular	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_perimenopause_joint_1_steroid_globulin_imputation_log	0.0398 (0.0481)	(rg: 0.0398; 95% CI: -0.0545 ... 0.1341)	1173302.0	0.0398	0.0481	0.094276	-0.0545 ... 0.1341	0.408	-0.054476	0.134076	1.0	0.0	0.0398	female_perimenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_perimenopause_unadjust_steroid_globulin_imputation_log	0.085 (0.0442)	(rg: 0.085; 95% CI: -0.0016 ... 0.1716)	1173302.0	0.085	0.0442	0.086632	-0.0016 ... 0.1716	0.0546	-0.0016319999999999946	0.171632	1.0	0.0	0.085	female_perimenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_postmenopause_joint_1_steroid_globulin_imputation_log	0.0537 (0.0253)	(rg: 0.0537; 95% CI: 0.0041 ... 0.1033)	1173302.0	0.0537	0.0253	0.049588	0.0041 ... 0.1033	0.0338	0.004111999999999998	0.10328799999999999	1.0	1.0	0.0537	female_postmenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_postmenopause_unadjust_steroid_globulin_imputation_log	0.0729 (0.0256)	(rg: 0.0729; 95% CI: 0.0227 ... 0.1231)	1173302.0	0.0729	0.0256	0.050176	0.0227 ... 0.1231	0.0044	0.022724000000000008	0.123076	1.0	1.0	0.0729	female_postmenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_premenopause_joint_1_steroid_globulin_imputation_log	0.078 (0.0503)	(rg: 0.078; 95% CI: -0.0206 ... 0.1766)	1173302.0	0.078	0.0503	0.098588	-0.0206 ... 0.1766	0.1212	-0.020587999999999995	0.176588	1.0	0.0	0.078	female_premenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_premenopause_unadjust_steroid_globulin_imputation_log	0.092 (0.0513)	(rg: 0.092; 95% CI: -0.0085 ... 0.1925)	1173302.0	0.092	0.0513	0.100548	-0.0085 ... 0.1925	0.073	-0.008548	0.192548	1.0	0.0	0.092	female_premenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	female_unadjust_steroid_globulin_imputation_log	0.0722 (0.0245)	(rg: 0.0722; 95% CI: 0.0242 ... 0.1202)	1173302.0	0.0722	0.0245	0.04802	0.0242 ... 0.1202	0.0032	0.02418	0.12022	1.0	1.0	0.0722	female	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_age_high_joint_1_steroid_globulin_imputation_log	0.0332 (0.0308)	(rg: 0.0332; 95% CI: -0.0272 ... 0.0936)	1173302.0	0.0332	0.0308	0.060368	-0.0272 ... 0.0936	0.2813	-0.027167999999999998	0.093568	1.0	0.0	0.0332	male_age_high	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_age_high_unadjust_steroid_globulin_imputation_log	0.022 (0.0307)	(rg: 0.022; 95% CI: -0.0382 ... 0.0822)	1173302.0	0.022	0.0307	0.060172	-0.0382 ... 0.0822	0.4739	-0.038172000000000005	0.082172	1.0	0.0	0.022	male_age_high	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_age_low_joint_1_steroid_globulin_imputation_log	0.0532 (0.0336)	(rg: 0.0532; 95% CI: -0.0127 ... 0.1191)	1173302.0	0.0532	0.0336	0.065856	-0.0127 ... 0.1191	0.1131	-0.012656	0.119056	1.0	0.0	0.0532	male_age_low	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_age_low_unadjust_steroid_globulin_imputation_log	0.0542 (0.0336)	(rg: 0.0542; 95% CI: -0.0117 ... 0.1201)	1173302.0	0.0542	0.0336	0.065856	-0.0117 ... 0.1201	0.1063	-0.011656	0.120056	1.0	0.0	0.0542	male_age_low	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_age_middle_joint_1_steroid_globulin_imputation_log	0.0413 (0.0329)	(rg: 0.0413; 95% CI: -0.0232 ... 0.1058)	1173302.0	0.0413	0.0329	0.064484	-0.0232 ... 0.1058	0.2093	-0.023183999999999996	0.105784	1.0	0.0	0.0413	male_age_middle	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_age_middle_unadjust_steroid_globulin_imputation_log	0.0407 (0.0309)	(rg: 0.0407; 95% CI: -0.0199 ... 0.1013)	1173302.0	0.0407	0.0309	0.060564	-0.0199 ... 0.1013	0.1873	-0.019864	0.10126399999999999	1.0	0.0	0.0407	male_age_middle	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_joint_1_steroid_globulin_imputation_log	0.0396 (0.0264)	(rg: 0.0396; 95% CI: -0.0121 ... 0.0913)	1173302.0	0.0396	0.0264	0.051744	-0.0121 ... 0.0913	0.1331	-0.012143999999999995	0.09134400000000001	1.0	0.0	0.0396	male	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_all	male_unadjust_steroid_globulin_imputation_log	0.0349 (0.0255)	(rg: 0.0349; 95% CI: -0.0151 ... 0.0849)	1173302.0	0.0349	0.0255	0.04998	-0.0151 ... 0.0849	0.1714	-0.015079999999999996	0.08488	1.0	0.0	0.0349	male	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_joint_1_steroid_globulin_imputation_log	0.0503 (0.0322)	(rg: 0.0503; 95% CI: -0.0128 ... 0.1134)	1172907.0	0.0503	0.0322	0.063112	-0.0128 ... 0.1134	0.1184	-0.012812000000000004	0.113412	1.0	0.0	0.0503	female	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_male_priority_male_joint_1_steroid_globulin_imputation_log	0.0335 (0.0306)	(rg: 0.0335; 95% CI: -0.0265 ... 0.0935)	1172907.0	0.0335	0.0306	0.059975999999999995	-0.0265 ... 0.0935	0.2731	-0.026475999999999993	0.093476	1.0	0.0	0.0335	female_male	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_male_priority_male_unadjust_steroid_globulin_imputation_log	0.0742 (0.0302)	(rg: 0.0742; 95% CI: 0.015 ... 0.1334)	1172907.0	0.0742	0.0302	0.059192	0.015 ... 0.1334	0.0139	0.015008	0.133392	1.0	1.0	0.0742	female_male	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_menstruation_regular_joint_1_steroid_globulin_imputation_log	0.0392 (0.0538)	(rg: 0.0392; 95% CI: -0.0662 ... 0.1446)	1172907.0	0.0392	0.0538	0.105448	-0.0662 ... 0.1446	0.4665	-0.066248	0.144648	1.0	0.0	0.0392	female_menstruation_regular	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_menstruation_regular_unadjust_steroid_globulin_imputation_log	0.1205 (0.0503)	(rg: 0.1205; 95% CI: 0.0219 ... 0.2191)	1172907.0	0.1205	0.0503	0.098588	0.0219 ... 0.2191	0.0167	0.021912	0.219088	1.0	1.0	0.1205	female_menstruation_regular	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_perimenopause_joint_1_steroid_globulin_imputation_log	0.044 (0.0664)	(rg: 0.044; 95% CI: -0.0861 ... 0.1741)	1172907.0	0.044	0.0664	0.130144	-0.0861 ... 0.1741	0.5076	-0.08614400000000001	0.17414400000000002	1.0	0.0	0.044	female_perimenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_perimenopause_unadjust_steroid_globulin_imputation_log	0.1312 (0.0617)	(rg: 0.1312; 95% CI: 0.0103 ... 0.2521)	1172907.0	0.1312	0.0617	0.120932	0.0103 ... 0.2521	0.0333	0.010268000000000013	0.252132	1.0	1.0	0.1312	female_perimenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_postmenopause_joint_1_steroid_globulin_imputation_log	0.0479 (0.0321)	(rg: 0.0479; 95% CI: -0.015 ... 0.1108)	1172907.0	0.0479	0.0321	0.06291599999999999	-0.015 ... 0.1108	0.1358	-0.015015999999999988	0.11081599999999998	1.0	0.0	0.0479	female_postmenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_postmenopause_unadjust_steroid_globulin_imputation_log	0.0917 (0.0331)	(rg: 0.0917; 95% CI: 0.0268 ... 0.1566)	1172907.0	0.0917	0.0331	0.06487599999999999	0.0268 ... 0.1566	0.0056	0.026824000000000014	0.156576	1.0	1.0	0.0917	female_postmenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_premenopause_joint_1_steroid_globulin_imputation_log	0.0443 (0.0683)	(rg: 0.0443; 95% CI: -0.0896 ... 0.1782)	1172907.0	0.0443	0.0683	0.133868	-0.0896 ... 0.1782	0.5173	-0.08956799999999998	0.178168	1.0	0.0	0.0443	female_premenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_premenopause_unadjust_steroid_globulin_imputation_log	0.1746 (0.067)	(rg: 0.1746; 95% CI: 0.0433 ... 0.3059)	1172907.0	0.1746	0.067	0.13132	0.0433 ... 0.3059	0.0091	0.04328000000000001	0.30591999999999997	1.0	1.0	0.1746	female_premenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	female_unadjust_steroid_globulin_imputation_log	0.0929 (0.0321)	(rg: 0.0929; 95% CI: 0.03 ... 0.1558)	1172907.0	0.0929	0.0321	0.06291599999999999	0.03 ... 0.1558	0.0038	0.02998400000000001	0.15581599999999998	1.0	1.0	0.0929	female	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_age_high_joint_1_steroid_globulin_imputation_log	0.0535 (0.0407)	(rg: 0.0535; 95% CI: -0.0263 ... 0.1333)	1172907.0	0.0535	0.0407	0.079772	-0.0263 ... 0.1333	0.1885	-0.026271999999999997	0.133272	1.0	0.0	0.0535	male_age_high	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_age_high_unadjust_steroid_globulin_imputation_log	0.0533 (0.0417)	(rg: 0.0533; 95% CI: -0.0284 ... 0.135)	1172907.0	0.0533	0.0417	0.081732	-0.0284 ... 0.135	0.2015	-0.028432	0.13503199999999999	1.0	0.0	0.0533	male_age_high	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_age_low_joint_1_steroid_globulin_imputation_log	0.0737 (0.0422)	(rg: 0.0737; 95% CI: -0.009 ... 0.1564)	1172907.0	0.0737	0.0422	0.08271200000000001	-0.009 ... 0.1564	0.081	-0.009012000000000006	0.156412	1.0	0.0	0.0737	male_age_low	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_age_low_unadjust_steroid_globulin_imputation_log	0.1053 (0.0427)	(rg: 0.1053; 95% CI: 0.0216 ... 0.189)	1172907.0	0.1053	0.0427	0.083692	0.0216 ... 0.189	0.0136	0.021608000000000002	0.188992	1.0	1.0	0.1053	male_age_low	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_age_middle_joint_1_steroid_globulin_imputation_log	-0.0077 (0.0433)	(rg: -0.0077; 95% CI: -0.0926 ... 0.0772)	1172907.0	-0.0077	0.0433	0.084868	-0.0926 ... 0.0772	0.8596	-0.092568	0.077168	1.0	0.0	0.0077	male_age_middle	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_age_middle_unadjust_steroid_globulin_imputation_log	0.0254 (0.0405)	(rg: 0.0254; 95% CI: -0.054 ... 0.1048)	1172907.0	0.0254	0.0405	0.07938	-0.054 ... 0.1048	0.5314	-0.05398000000000001	0.10478000000000001	1.0	0.0	0.0254	male_age_middle	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_joint_1_steroid_globulin_imputation_log	0.037 (0.0338)	(rg: 0.037; 95% CI: -0.0292 ... 0.1032)	1172907.0	0.037	0.0338	0.06624799999999999	-0.0292 ... 0.1032	0.2728	-0.02924799999999999	0.10324799999999998	1.0	0.0	0.037	male	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30643251_liu_2019_alcohol_no_ukb	male_unadjust_steroid_globulin_imputation_log	0.0579 (0.0333)	(rg: 0.0579; 95% CI: -0.0074 ... 0.1232)	1172907.0	0.0579	0.0333	0.065268	-0.0074 ... 0.1232	0.0818	-0.0073680000000000065	0.123168	1.0	0.0	0.0579	male	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_joint_1_steroid_globulin_imputation_log	0.0048 (0.0184)	(rg: 0.0048; 95% CI: -0.0313 ... 0.0409)	1160229.0	0.0048	0.0184	0.036064	-0.0313 ... 0.0409	0.7934	-0.031264	0.040864	1.0	0.0	0.0048	female	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_male_priority_male_joint_1_steroid_globulin_imputation_log	-0.0032 (0.0151)	(rg: -0.0032; 95% CI: -0.0328 ... 0.0264)	1160229.0	-0.0032	0.0151	0.029596	-0.0328 ... 0.0264	0.8298	-0.032796	0.026396	1.0	0.0	0.0032	female_male	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_male_priority_male_unadjust_steroid_globulin_imputation_log	-0.0602 (0.0171)	(rg: -0.0602; 95% CI: -0.0937 ... -0.0267)	1160229.0	-0.0602	0.0171	0.033516	-0.0937 ... -0.0267	0.0004	-0.093716	-0.026684	1.0	1.0	0.0602	female_male	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_menstruation_regular_joint_1_steroid_globulin_imputation_log	0.052 (0.0363)	(rg: 0.052; 95% CI: -0.0191 ... 0.1231)	1160230.0	0.052	0.0363	0.071148	-0.0191 ... 0.1231	0.1519	-0.019148000000000005	0.12314800000000001	1.0	0.0	0.052	female_menstruation_regular	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_menstruation_regular_unadjust_steroid_globulin_imputation_log	-0.0348 (0.0366)	(rg: -0.0348; 95% CI: -0.1065 ... 0.0369)	1160230.0	-0.0348	0.0366	0.071736	-0.1065 ... 0.0369	0.3413	-0.10653599999999999	0.036936	1.0	0.0	0.0348	female_menstruation_regular	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_perimenopause_joint_1_steroid_globulin_imputation_log	0.0343 (0.0393)	(rg: 0.0343; 95% CI: -0.0427 ... 0.1113)	1160229.0	0.0343	0.0393	0.077028	-0.0427 ... 0.1113	0.3829	-0.042728	0.111328	1.0	0.0	0.0343	female_perimenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_perimenopause_unadjust_steroid_globulin_imputation_log	-0.0513 (0.0435)	(rg: -0.0513; 95% CI: -0.1366 ... 0.034)	1160229.0	-0.0513	0.0435	0.08525999999999999	-0.1366 ... 0.034	0.2376	-0.13656	0.03395999999999999	1.0	0.0	0.0513	female_perimenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_postmenopause_joint_1_steroid_globulin_imputation_log	0.0044 (0.0198)	(rg: 0.0044; 95% CI: -0.0344 ... 0.0432)	1160229.0	0.0044	0.0198	0.038808	-0.0344 ... 0.0432	0.8234	-0.034408	0.043208	1.0	0.0	0.0044	female_postmenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_postmenopause_unadjust_steroid_globulin_imputation_log	-0.0457 (0.0227)	(rg: -0.0457; 95% CI: -0.0902 ... -0.0012)	1160229.0	-0.0457	0.0227	0.044492000000000004	-0.0902 ... -0.0012	0.0435	-0.090192	-0.0012079999999999938	1.0	1.0	0.0457	female_postmenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_premenopause_joint_1_steroid_globulin_imputation_log	0.0342 (0.0467)	(rg: 0.0342; 95% CI: -0.0573 ... 0.1257)	1160230.0	0.0342	0.0467	0.091532	-0.0573 ... 0.1257	0.4644	-0.057332	0.125732	1.0	0.0	0.0342	female_premenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_premenopause_unadjust_steroid_globulin_imputation_log	-0.0802 (0.0455)	(rg: -0.0802; 95% CI: -0.1694 ... 0.009)	1160230.0	-0.0802	0.0455	0.08918	-0.1694 ... 0.009	0.0779	-0.16937999999999998	0.008980000000000002	1.0	0.0	0.0802	female_premenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	female_unadjust_steroid_globulin_imputation_log	-0.0558 (0.0212)	(rg: -0.0558; 95% CI: -0.0974 ... -0.0142)	1160229.0	-0.0558	0.0212	0.041552	-0.0974 ... -0.0142	0.0084	-0.097352	-0.014248000000000004	1.0	1.0	0.0558	female	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_age_high_joint_1_steroid_globulin_imputation_log	0.0146 (0.0245)	(rg: 0.0146; 95% CI: -0.0334 ... 0.0626)	1160229.0	0.0146	0.0245	0.04802	-0.0334 ... 0.0626	0.5521	-0.03342	0.06262	1.0	0.0	0.0146	male_age_high	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_age_high_unadjust_steroid_globulin_imputation_log	-0.0228 (0.0268)	(rg: -0.0228; 95% CI: -0.0753 ... 0.0297)	1160229.0	-0.0228	0.0268	0.052528	-0.0753 ... 0.0297	0.3944	-0.075328	0.029727999999999997	1.0	0.0	0.0228	male_age_high	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_age_low_joint_1_steroid_globulin_imputation_log	-0.0135 (0.0215)	(rg: -0.0135; 95% CI: -0.0556 ... 0.0286)	1160229.0	-0.0135	0.0215	0.04214	-0.0556 ... 0.0286	0.5305	-0.055639999999999995	0.02864	1.0	0.0	0.0135	male_age_low	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_age_low_unadjust_steroid_globulin_imputation_log	-0.0501 (0.0225)	(rg: -0.0501; 95% CI: -0.0942 ... -0.006)	1160229.0	-0.0501	0.0225	0.0441	-0.0942 ... -0.006	0.0259	-0.0942	-0.005999999999999998	1.0	1.0	0.0501	male_age_low	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_age_middle_joint_1_steroid_globulin_imputation_log	0.0014 (0.0229)	(rg: 0.0014; 95% CI: -0.0435 ... 0.0463)	1160229.0	0.0014	0.0229	0.044884	-0.0435 ... 0.0463	0.9497	-0.043484	0.046284	1.0	0.0	0.0014	male_age_middle	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_age_middle_unadjust_steroid_globulin_imputation_log	-0.0461 (0.0238)	(rg: -0.0461; 95% CI: -0.0927 ... 0.0005)	1160229.0	-0.0461	0.0238	0.046648	-0.0927 ... 0.0005	0.0526	-0.092748	0.0005479999999999999	1.0	0.0	0.0461	male_age_middle	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_joint_1_steroid_globulin_imputation_log	0.0013 (0.0165)	(rg: 0.0013; 95% CI: -0.031 ... 0.0336)	1160229.0	0.0013	0.0165	0.03234	-0.031 ... 0.0336	0.9391	-0.03104	0.03364	1.0	0.0	0.0013	male	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	30718901_howard_2019	male_unadjust_steroid_globulin_imputation_log	-0.053 (0.0183)	(rg: -0.053; 95% CI: -0.0889 ... -0.0171)	1160229.0	-0.053	0.0183	0.035868	-0.0889 ... -0.0171	0.0037	-0.088868	-0.017132	1.0	1.0	0.053	male	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_joint_1_steroid_globulin_imputation_log	0.0148 (0.0224)	(rg: 0.0148; 95% CI: -0.0291 ... 0.0587)	1137118.0	0.0148	0.0224	0.043904	-0.0291 ... 0.0587	0.5074	-0.029103999999999998	0.058704	1.0	0.0	0.0148	female	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_male_priority_male_joint_1_steroid_globulin_imputation_log	-0.0013 (0.0202)	(rg: -0.0013; 95% CI: -0.0409 ... 0.0383)	1137118.0	-0.0013	0.0202	0.039591999999999995	-0.0409 ... 0.0383	0.9505	-0.040892	0.03829199999999999	1.0	0.0	0.0013	female_male	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_male_priority_male_unadjust_steroid_globulin_imputation_log	0.0123 (0.0203)	(rg: 0.0123; 95% CI: -0.0275 ... 0.0521)	1137118.0	0.0123	0.0203	0.039788	-0.0275 ... 0.0521	0.5445	-0.027488	0.052087999999999995	1.0	0.0	0.0123	female_male	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_menstruation_regular_joint_1_steroid_globulin_imputation_log	0.0491 (0.04)	(rg: 0.0491; 95% CI: -0.0293 ... 0.1275)	1137119.0	0.0491	0.04	0.0784	-0.0293 ... 0.1275	0.22	-0.0293	0.1275	1.0	0.0	0.0491	female_menstruation_regular	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_menstruation_regular_unadjust_steroid_globulin_imputation_log	0.0404 (0.0417)	(rg: 0.0404; 95% CI: -0.0413 ... 0.1221)	1137119.0	0.0404	0.0417	0.081732	-0.0413 ... 0.1221	0.3328	-0.041332	0.12213199999999999	1.0	0.0	0.0404	female_menstruation_regular	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_perimenopause_joint_1_steroid_globulin_imputation_log	0.0056 (0.0456)	(rg: 0.0056; 95% CI: -0.0838 ... 0.095)	1137118.0	0.0056	0.0456	0.089376	-0.0838 ... 0.095	0.9021	-0.083776	0.09497599999999999	1.0	0.0	0.0056	female_perimenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_perimenopause_unadjust_steroid_globulin_imputation_log	0.0412 (0.0476)	(rg: 0.0412; 95% CI: -0.0521 ... 0.1345)	1137118.0	0.0412	0.0476	0.093296	-0.0521 ... 0.1345	0.3864	-0.052096	0.134496	1.0	0.0	0.0412	female_perimenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_postmenopause_joint_1_steroid_globulin_imputation_log	0.0073 (0.0227)	(rg: 0.0073; 95% CI: -0.0372 ... 0.0518)	1137118.0	0.0073	0.0227	0.044492000000000004	-0.0372 ... 0.0518	0.7478	-0.037192	0.051792000000000005	1.0	0.0	0.0073	female_postmenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_postmenopause_unadjust_steroid_globulin_imputation_log	0.0334 (0.0241)	(rg: 0.0334; 95% CI: -0.0138 ... 0.0806)	1137118.0	0.0334	0.0241	0.047236	-0.0138 ... 0.0806	0.1658	-0.013836000000000001	0.080636	1.0	0.0	0.0334	female_postmenopause	unadjust	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_premenopause_joint_1_steroid_globulin_imputation_log	0.0299 (0.0494)	(rg: 0.0299; 95% CI: -0.0669 ... 0.1267)	1137119.0	0.0299	0.0494	0.096824	-0.0669 ... 0.1267	0.5456	-0.066924	0.126724	1.0	0.0	0.0299	female_premenopause	joint_1	steroid_globulin_imputation_log
primaries_against_steroid_globulin_linear	34002096_mullins_2021_all	female_premenopause_unadjust_steroid_globulin_imputation_log	0.0112 (0.05)	(rg: 0.0112; 95% CI: -0.0868 ... 0.1092)	1137119.0	0.0112	0.05	0.098	-0.0868 ... 0.1092	0.8227	-0.0868	0.1092	1.0	0.0	0.0112	female_premenopause	unadjust	steroid_globulin_imputation_log
